id,Created,Last Edited,Last Edited By,Question (deprecated),Question (summary),Question (description - optional),Contributors,Context layer,Question Type (deprecated),Question Type,Resource Type(s),Nested Questions,Nested Question ids,Parent Question,Parent Question id,Notes
"1620225900000Did people collect and/or annotate the data in order to implement machine learning? Describe the relationship between human subjects and machine learning models throughout the Data Lifecycle, as applicable (or if a similar human labor + automated relationship exists around data collection, preprocessing, validation, or analysis). ","May 5, 2021 7:45 AM","June 9, 2021 3:58 PM",Katy McKinney-Bock,"Did people collect and/or annotate the data in order to implement machine learning? Describe the relationship between human subjects and machine learning models throughout the Data Lifecycle, as applicable (or if a similar human labor + automated relationship exists around data collection, preprocessing, validation, or analysis). ",Did people collect and/or annotate the data?,,Katy McKinney-Bock,Humans/Machines in the Loop > Humans/Labor,,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20is%20the%20relationship%20between%20human%20subjects%20(o%208edbceae17b143559fc21651f3f4a67e.md,1623279300000What is the relationship between human subjects (or annotators) and models?,,,
"1620225900000 Have humans examined any analysis or models (e.g. with error analysis) to understand what information and generalization was captured? ","May 5, 2021 7:45 AM","June 9, 2021 3:57 PM",Katy McKinney-Bock," Have humans examined any analysis or models (e.g. with error analysis) to understand what information and generalization was captured? "," Have humans examined any analysis or models to understand what information and/or generalization was captured? ",,Katy McKinney-Bock,Humans/Machines in the Loop > Humans/Labor,,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/How%2001bfd37d20d64d989fed3bed59c06ae9.md,1623279360000How?,,,This could be in Data Validation as well.
"1619049600000Provide links to available source code, software requirements, parameterization, and documentation for full reproducibility across the data lifecycle (GitHub, BitBucket, etc.). ","April 21, 2021 5:00 PM","June 15, 2021 7:37 AM",Katy McKinney-Bock,"Provide links to available source code, software requirements, parameterization, and documentation for full reproducibility across the data lifecycle (GitHub, BitBucket, etc.). ",What external documentation is available for reproducibility?,"Provide links to available source code, software requirements, parameterization, and documentation for full reproducibility across the data lifecycle (GitHub, BitBucket, etc.). ",Katy McKinney-Bock,Humans/Machines in the Loop > Reproducibility Requirements,Long Answer,Resource (List),"External Link, File",,,,,
"1619049960000What are the necessary conditions for replicating data collection, preprocessing, analysis, and validation? ","April 21, 2021 5:06 PM","June 15, 2021 7:35 AM",Katy McKinney-Bock,"What are the necessary conditions for replicating data collection, preprocessing, analysis, and validation? ","What are the necessary conditions for replicating data collection, preprocessing, analysis, and validation? ","A description of the information, processes, and resources that are needed for replicability of the data in its full lifecycle, including collection of new data, preprocessing, validation, and analysis.",Katy McKinney-Bock,Humans/Machines in the Loop > Reproducibility Requirements,Long Answer,Long Description,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20information%20is%20missing%20that%20would%20be%20needed%20t%20b10abe9c5c004d87b07d792d513a5775.md,"1623767160000What information is missing that would be needed to replicate the data lifecycle? ",,,
"1619050020000What are the necessary conditions for reproducing data preprocessing, analysis, and validation? ","April 21, 2021 5:07 PM","June 15, 2021 7:34 AM",Katy McKinney-Bock,"What are the necessary conditions for reproducing data preprocessing, analysis, and validation? ","What are the necessary conditions for reproducing data preprocessing, analysis, and validation? ","A description of the processes and resources that would be needed for reproducibility of preprocessing, validation, and analysis, using the same dataset.",Katy McKinney-Bock,Humans/Machines in the Loop > Reproducibility Requirements,Long Answer,Long Description,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20information%20is%20missing%20that%20would%20be%20needed%20t%206855df5613fa4882bfeb052fbc9c39a3.md,"1619049780000What information is missing that would be needed to reproduce the data lifecycle? To replicate the data lifecycle? ",,,
"1619049780000What information is missing that would be needed to reproduce the data lifecycle? To replicate the data lifecycle? ","April 21, 2021 5:03 PM","June 15, 2021 7:35 AM",Katy McKinney-Bock,"What information is missing that would be needed to reproduce the data lifecycle? To replicate the data lifecycle? ","What information is missing that would be needed to reproduce the data lifecycle? ","A description of information that is missing or not available, and that would be necessary for reproducibility.",Katy McKinney-Bock,Humans/Machines in the Loop > Reproducibility Requirements,Long Answer,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20are%20the%20necessary%20conditions%20for%20reproducing%20%20b5b2553658ee410c81dddd5ff01d070b.md,"1619050020000What are the necessary conditions for reproducing data preprocessing, analysis, and validation? ","This may be transformational, but I'm certain there are some ways to identify what is missing from foundational information → then take it into transformational discussion about why this is problematic. "
1620656160000What is the full dataset name?,"May 10, 2021 7:16 AM","June 9, 2021 3:54 PM",Katy McKinney-Bock,What is the full dataset name?,What is the full dataset name?,,Katy McKinney-Bock,Data Lifecycle,Short Answer,Short Description,,,,,,
"1623274860000If yes, which data protection standard applies to this dataset?","June 9, 2021 2:41 PM","June 9, 2021 8:12 PM",Riya Swayampati,"If yes, which data protection standard applies to this dataset?",Which data protection standard applies to this dataset?,A list of all recognized standards (if yes to parent question).,Riya Swayampati,Governance > Data Compliance > Data Protection,,Resource (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20a%20data%20protection%20standard%20that%20this%20data%204bfc1a999dc643e8a54d304ba35672f0.md,"1620420900000Is there a data protection standard that this dataset complies with? If yes, which data protection standard?",
1620742500000What non-data steward roles are associated with the dataset within the organization?,"May 11, 2021 7:15 AM","June 11, 2021 12:31 AM",Shreyasha Paudel,What non-data steward roles are associated with the dataset within the organization?,What non-data steward roles are associated with the dataset within the organization?,"A list of people who work closely with the dataset in the organization and a brief description of their roles. ",Riya Swayampati,Governance > Decision-Makers > Org Roles,Long Answer,Short Description (List),,,,,,
1620741420000Who is typically allowed access to this dataset within the owning organization?,"May 11, 2021 6:57 AM","June 9, 2021 8:13 PM",Riya Swayampati,Who is typically allowed access to this dataset within the owning organization?,Who is typically allowed access to this dataset within the owning organization?,A list of people that are allowed access to this dataset within the owning organization,"Riya Swayampati, Shreyasha Paudel",Governance > Access,Short Answer,Person (List),,,,,,
1620741540000Who are the intended users of this dataset?,"May 11, 2021 6:59 AM","June 9, 2021 8:14 PM",Riya Swayampati,Who are the intended users of this dataset?,Who are the intended users of this dataset?,A list and brief description of the characteristic of intended users for their dataset.,"Riya Swayampati, Shreyasha Paudel",Governance > Data Use,Long Answer,Short Description,,,,,,
1620741600000What are example use cases of this dataset?,"May 11, 2021 7:00 AM","June 9, 2021 3:19 PM",Riya Swayampati,What are example use cases of this dataset?,What are example use cases of this dataset?,"This questions asks for some ways the dataset is being used. Note: This is an example of an actual use case, and not an imaginary.","Riya Swayampati, Shreyasha Paudel",Governance > Data Use,Long Answer,Short Description (List),,,,,,
1620741300000Who is the point of contact for stewardship (data steward) of this dataset?,"May 11, 2021 6:55 AM","June 9, 2021 3:18 PM",Riya Swayampati,Who is the point of contact for stewardship (data steward) of this dataset?,Who is the point of contact for stewardship (data steward) of this dataset?,This question asks for a point of contact or data steward for the dataset.,"Riya Swayampati, Shreyasha Paudel",Governance > Decision-Makers > Stewardship,Short Answer,Person,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20the%20data%20steward%20the%20person%20in%20charge%20of%20the%20da%20375e2828141b46adace36dc276667a86.md,1620742920000Is the data steward the person in charge of the dataset?,,,
1620742920000Is the data steward the person in charge of the dataset?,"May 11, 2021 7:22 AM","June 9, 2021 3:18 PM",Riya Swayampati,Is the data steward the person in charge of the dataset?,Is the data steward the person in charge of the dataset?,This question intends to clarify the role of data steward and whether they are involved in decision-making and/or maintenance of the dataset.,"Riya Swayampati, Shreyasha Paudel",Governance > Decision-Makers > Stewardship,Yes/No — short,Person,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/If%20not,%20who%20is%20in%20charge%20of%20making%20the%20final%20decis%20705ee4bed9ff4031b63f9c89640b3c02.md","1620742740000If not, who is  in charge of making the final decision if there is a ""grey area"" or confusion regarding the data?",%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Who%20is%20the%20point%20of%20contact%20for%20stewardship%20(data%20%203d0ecd606ba04e5889b581b292acdc5d.md,1620741300000Who is the point of contact for stewardship (data steward) of this dataset?,
"1620742740000If not, who is  in charge of making the final decision if there is a ""grey area"" or confusion regarding the data?","May 11, 2021 7:19 AM","June 9, 2021 3:18 PM",Riya Swayampati,"If not, who is  in charge of making the final decision if there is a ""grey area"" or confusion regarding the data?","Who is in charge of making the final decision if there is a ""grey area"" or confusion regarding the data?",This question intends to find the key person/s responsible for making decisions with regards to the dataset. An ideal context information would have an individual and their role within the organization as answer.,"Riya Swayampati, Shreyasha Paudel",Governance > Decision-Makers > Stewardship,Short Answer,Person,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20the%20data%20steward%20the%20person%20in%20charge%20of%20the%20da%20375e2828141b46adace36dc276667a86.md,1620742920000Is the data steward the person in charge of the dataset?,
1620742740000Is there an entity that makes discretionary decisions regarding the dataset?,"May 11, 2021 7:19 AM","June 9, 2021 3:18 PM",Riya Swayampati,Is there an entity that makes discretionary decisions regarding the dataset?,Is there an entity that makes discretionary decisions regarding the dataset?,"This question is asking for a team or person within the organization who makes discretionary decisions regarding the dataset. This should include a list, if decision-makers are different at different stages of data lifecycle.","Riya Swayampati, Shreyasha Paudel",Governance > Decision-Makers,Yes/No — long,Person (List),,,,,,
1620768600000Please include list of decision makers involved with dataset,"May 11, 2021 2:30 PM","June 9, 2021 3:18 PM",Riya Swayampati,Please include list of decision makers involved with dataset,Who are the decision makers involved with the dataset?,"This question is asking for people in addition to the team within the organization who makes discretionary decisions regarding the dataset. This should include a list, if decision-makers are different at different stages of data lifecycle.","Riya Swayampati, Shreyasha Paudel",Governance > Decision-Makers,Long Answer,Person (List),,,,,,
1620235080000Is there a process for internal security assessment?,"May 5, 2021 10:18 AM","June 9, 2021 2:37 PM",Riya Swayampati,Is there a process for internal security assessment?,"What is the process for internal security assessment if it exists? ",This describes any security assessment policies that might apply for the dataset.  The information can point to existing document and/or a brief summary of the policies.,Shreyasha Paudel,Governance > Data Compliance > Security Protocols,Yes/No — short,Short Description (List),,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/When%20was%20the%20last%20security%20assessment%20748b33d5a4374be3b0db82347e1de64c.md,1620249000000When was the last security assessment?,,,
1620249000000When was the last security assessment?,"May 5, 2021 2:10 PM","June 9, 2021 3:18 PM",Riya Swayampati,When was the last security assessment?,When was the last security assessment?,This question asks for the date of last security assessment. This information can be used to quantify the frequency of security assessments.,Shreyasha Paudel,Governance > Data Compliance > Security Protocols,Short Answer,Short Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20a%20process%20for%20internal%20security%20assessmen%20f407eca8437343589e67a1ff7009802a.md,1620235080000Is there a process for internal security assessment?,
1620249120000Are there security protocols that are followed for this dataset,"May 5, 2021 2:12 PM","June 9, 2021 2:38 PM",Riya Swayampati,Are there security protocols that are followed for this dataset,"What are the security protocols, if any, that are followed for this dataset?",This describes any protocols related to data security. The information can point to existing document and/or a brief summary of the protocol.,Shreyasha Paudel,Governance > Data Compliance > Security Protocols,Yes/No — short,Short Description,,,,,,
1620419580000Does the dataset have an audit trail or record of other digital activities?,"May 7, 2021 1:33 PM","June 9, 2021 8:15 PM",Riya Swayampati,Does the dataset have an audit trail or record of other digital activities?,Does the dataset have an audit trail or record of other digital activities?,This is a yes/no question to determine whether the dataset has been audited.,Shreyasha Paudel,Governance > Data Compliance > Audit Trail,Yes/No — short,Yes/No,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20are%20the%20items%20included%20in%20audit%20trail%20a70ad7f7dbdb425cb5cd5e6f3265ba53.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Please%20describe%20the%20logical%20and%20procedural%20control%203d52f90640e446e184dc3f9690e4a12d.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Please%20describe%20the%20policies%20available%20for%20reviewi%2048c0fb219c5f414f94c5bfef35da8ced.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20is%20the%20retention%20policy%20for%20the%20audit%20trail%20f%20f5d56db3204542aeb7fa4f16b76604d0.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20this%20dataset%20legally%20required%20to%20have%20audit%20tra%20586dc3b050f24cda97a94cbe8ff74216.md","1620419640000What are the items included in audit trail ?,1620419640000Please describe the logical and procedural controls for enabling the audit trail for the dataset.,1620419760000Please describe the policies available for reviewing the audit trail for the dataset.,1620419820000What is the retention policy for the audit trail for the dataset?,1621266240000Is this dataset legally required to have audit trails?",,,
"1620420900000Is there a data protection standard that this dataset complies with? If yes, which data protection standard?","May 7, 2021 1:55 PM","June 9, 2021 2:50 PM",Riya Swayampati,"Is there a data protection standard that this dataset complies with? If yes, which data protection standard?","What is the data protection standard, if any, that this dataset complies with?",This is a yes/no question to determine whether the dataset is protected by a formal standard. also requires a list of all recognized standards (if applicable).,Shreyasha Paudel,Governance > Data Compliance > Data Protection,Yes/No — short,Yes/No,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/How%20is%20compliance%20with%20the%20data%20protection%20standar%2058d1d2ba58a5447391a847f29d8cb75f.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20this%20dataset%20legally%20required%20to%20comply%20with%20da%20c452720a4ae948bda81cb693a7acaf6e.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/If%20yes,%20which%20data%20protection%20standard%20applies%20to%20%20a6baab62604e40c0a5bdcbfaa8dbef56.md","1620421320000How is compliance with the data protection standard verified for this dataset ?,1621266180000Is this dataset legally required to comply with data protection standard?,1623274860000If yes, which data protection standard applies to this dataset?",,,
"1620421200000Are there policies that govern protected information for this dataset? ","May 7, 2021 2:00 PM","June 9, 2021 8:17 PM",Riya Swayampati,"Are there policies that govern protected information for this dataset? ","Are there policies that govern protected information for this dataset? ","This is a yes/no question to determine whether the dataset has policies that govern protected information. If yes, provide a description in the nested question",Shreyasha Paudel,Governance > Data Compliance > Data Protection,Yes/No — long,Yes/No,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/If%20yes,%20please%20describe%20the%20policies%20fad8f4ede1d64969bca17a75f738a59d.md","1623275160000If yes, please describe the policies.",,,
"1623275160000If yes, please describe the policies.","June 9, 2021 2:46 PM","June 9, 2021 8:16 PM",Riya Swayampati,"If yes, please describe the policies.",What are the policies?,"A list and brief description of the policies that govern protected information for this dataset, if they are associated with a data protection level and/or any links available to the documentation",Riya Swayampati,Governance > Data Compliance > Data Protection,,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Are%20there%20policies%20that%20govern%20protected%20informati%20c3db7e6824ca446a8ddf029307fce800.md,"1620421200000Are there policies that govern protected information for this dataset? ",
1620421320000How is compliance with the data protection standard verified for this dataset ?,"May 7, 2021 2:02 PM","June 11, 2021 12:39 AM",Shreyasha Paudel,How is compliance with the data protection standard verified for this dataset ?,How is compliance with the data protection standard verified for this dataset ?,"A brief step-wise description for the process to verify compliance with data protection standard. ",Shreyasha Paudel,Governance > Data Compliance > Data Protection,Long Answer,Long Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20a%20data%20protection%20standard%20that%20this%20data%204bfc1a999dc643e8a54d304ba35672f0.md,"1620420900000Is there a data protection standard that this dataset complies with? If yes, which data protection standard?",
"1620421680000Is there a data protection officer assigned to the dataset? ","May 7, 2021 2:08 PM","June 11, 2021 12:40 AM",Shreyasha Paudel,"Is there a data protection officer assigned to the dataset? ","Is there a data protection officer assigned to the dataset? ","This is a yes/no question to identify if there is a data protection officer for the dataset. ",Shreyasha Paudel,Governance > Data Compliance > Data Protection,Yes/No — short,Yes/No,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20are%20the%20roles%20and%20responsibilities%20of%20the%20dat%20d3436d2b3cb44b58a97deb005956e514.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Who%20is%20the%20data%20protection%20officer%20assigned%20to%20the%20bcc79e5bdcbf4694bc143b2d2ebfaa5e.md","1620421680000What are the roles and responsibilities of the data protection officer?,1623275460000Who is the data protection officer assigned to the dataset?",,,
1623275460000Who is the data protection officer assigned to the dataset?,"June 9, 2021 2:51 PM","June 11, 2021 12:40 AM",Shreyasha Paudel,Who is the data protection officer assigned to the dataset?,Who is the data protection officer assigned to the dataset?,The name and contact information for the data protection officer assigned to the dataset.,"Riya Swayampati, Shreyasha Paudel",Governance > Data Compliance > Data Protection,,Person (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20a%20data%20protection%20officer%20assigned%20to%20the%204c24ad892fc44b499d6b2f5dff7a8fbc.md,"1620421680000Is there a data protection officer assigned to the dataset? ",
1620421680000What are the roles and responsibilities of the data protection officer?,"May 7, 2021 2:08 PM","June 9, 2021 2:53 PM",Riya Swayampati,What are the roles and responsibilities of the data protection officer?,What are the roles and responsibilities of the data protection officer?,,Shreyasha Paudel,Governance > Data Compliance > Data Protection,Long Answer,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20a%20data%20protection%20officer%20assigned%20to%20the%204c24ad892fc44b499d6b2f5dff7a8fbc.md,"1620421680000Is there a data protection officer assigned to the dataset? ",
1621262880000Is there a policy for anonymizing sensitive information in dataset? Please explain.,"May 17, 2021 7:48 AM","June 11, 2021 12:41 AM",Shreyasha Paudel,Is there a policy for anonymizing sensitive information in dataset? Please explain.,"Is there a policy for anonymizing sensitive information in dataset? ","A yes/no question stating whether there is a standard organizational policy for anonymizing sensitive information. ",Shreyasha Paudel,Governance > Data Compliance > Data Protection,Yes/No — long,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Please%20describe%20the%20policy%20ca1a391f8dec449cad54f557bd07584f.md,1623275580000Please describe the policy,,,
1623275580000Please describe the policy,"June 9, 2021 2:53 PM","June 11, 2021 12:42 AM",Shreyasha Paudel,Please describe the policy,"What is the policy for anonymizing sensitive information in dataset? ",A long description of all the policies for anonymizing sensitive information in the dataset. This description should include what information is identified as sensitive.,"Riya Swayampati, Shreyasha Paudel",Governance > Data Compliance > Data Protection,,Long Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20a%20policy%20for%20anonymizing%20sensitive%20inform%20722c068213354c9e93ad182c180dc024.md,1621262880000Is there a policy for anonymizing sensitive information in dataset? Please explain.,
1621266180000Is this dataset legally required to comply with data protection standard?,"May 17, 2021 8:43 AM","June 11, 2021 12:44 AM",Shreyasha Paudel,Is this dataset legally required to comply with data protection standard?,Is this dataset legally required to comply with data protection standard?,"This is asking if there is a legal requirement (federal, state or local) law for a data protection standard.",Shreyasha Paudel,Governance > Data Compliance > Data Protection,Yes/No,Yes/No,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20a%20data%20protection%20standard%20that%20this%20data%204bfc1a999dc643e8a54d304ba35672f0.md,"1620420900000Is there a data protection standard that this dataset complies with? If yes, which data protection standard?",
1621263120000Who is responsible for identifying and protecting sensitive information in the dataset?,"May 17, 2021 7:52 AM","June 11, 2021 12:43 AM",Shreyasha Paudel,Who is responsible for identifying and protecting sensitive information in the dataset?,Who is responsible for identifying and protecting sensitive information in the dataset?,A person (or a list of people) who are responsible for identifying and protecting sensitive information at different stages of the data lifecycle.,Shreyasha Paudel,Governance > Decision-Makers > Org Roles,Short Answer,Person (List),,,,,,Principle for governance - Rights of people (data protection)
1621264860000Is there a community liaison who acts as an interface between the community and the data project?,"May 17, 2021 8:21 AM","June 11, 2021 12:45 AM",Shreyasha Paudel,Is there a community liaison who acts as an interface between the community and the data project?,Is there a community liaison who acts as an interface between the community and the data project?,A yes/no question to identify if there is an identified role for interacting between the data project and the community.,Shreyasha Paudel,Governance > Decision-Makers > Org Roles,Yes/No,Yes/No,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20are%20the%20responsibilities%20for%20the%20community%20li%20ad7f9ca1e27e455792d2fe0b6b404979.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Who%20is%20the%20community%20liaison%203d34705f5fc44763b00ed6ab73aa9125.md","1621265160000What are the responsibilities for the community liaision?,1623275820000Who is the community liaison?",,,Principle for governance - Accountable to community
1623275820000Who is the community liaison?,"June 9, 2021 2:57 PM","June 11, 2021 12:47 AM",Shreyasha Paudel,Who is the community liaison?,Who is the community liaison?,"A person (or a list of people) who act as community liaisons at different stages of the data lifecycle. ","Riya Swayampati, Shreyasha Paudel",Governance > Decision-Makers > Org Roles,,Person (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20a%20community%20liaison%20who%20acts%20as%20an%20interf%209cab5b7b4099421bbb1840125cff1d20.md,1621264860000Is there a community liaison who acts as an interface between the community and the data project?,
1621265160000What are the responsibilities for the community liaision?,"May 17, 2021 8:26 AM","June 11, 2021 12:46 AM",Shreyasha Paudel,What are the responsibilities for the community liaision?,What are the responsibilities for the community liaision?,A long description for all the tasks that community liaision/s would perform in their interactions with the community.,Shreyasha Paudel,Governance > Decision-Makers > Org Roles,Short Answer,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20a%20community%20liaison%20who%20acts%20as%20an%20interf%209cab5b7b4099421bbb1840125cff1d20.md,1621264860000Is there a community liaison who acts as an interface between the community and the data project?,Principle for governance - Accountable to community
1621265400000Who is responsible for determining if the data needs to be updated?,"May 17, 2021 8:30 AM","June 11, 2021 1:16 AM",Shreyasha Paudel,Who is responsible for determining if the data needs to be updated?,Who is responsible for determining if the data needs to be updated?,A person (or a list of people) who are responsible for determining if the data needs to be updated at different stages of data lifecycle.,Shreyasha Paudel,Governance > Decision-Makers > Org Roles,Short Answer,Person (List),,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Who%20is%20responsible%20for%20updating%20the%20data%20c1efc81525ef4c24833ad4389c831709.md,1621265460000Who is responsible for updating the data?,,,Principle for governance - Recency
1621265460000Who is responsible for updating the data?,"May 17, 2021 8:31 AM","June 11, 2021 1:17 AM",Shreyasha Paudel,Who is responsible for updating the data?,Who is responsible for updating the data?,A person (or a list of people) who are responsible for updating the data. This can be same or different role as determining if the data needs to be updated.,Shreyasha Paudel,Governance > Decision-Makers > Org Roles,Short Answer,Person (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Who%20is%20responsible%20for%20determining%20if%20the%20data%20nee%202fb79b2894bf480ea7a85b3536820705.md,1621265400000Who is responsible for determining if the data needs to be updated?,Principle for governance - Recency
1621265520000Who is responsible for determining that the data is trustworthy?,"May 17, 2021 8:32 AM","June 11, 2021 1:23 AM",Shreyasha Paudel,Who is responsible for determining that the data is trustworthy?,Who is responsible for determining that the data is trustworthy?,"The name and organizational contact of the person (or a list of people) who are responsible for determining the trustworthiness of the dataset.  ",Shreyasha Paudel,Governance > Decision-Makers > Org Roles,Short Answer,Person (List),,,,,,Principle for governance - Trustworthiness
1621265880000Who creates and documents consent forms?,"May 17, 2021 8:38 AM","June 11, 2021 1:19 AM",Shreyasha Paudel,Who creates and documents consent forms?,Who creates and documents consent forms?,"A person (or a list of people) who create consent forms for data constituents. ",Shreyasha Paudel,Governance > Decision-Makers > Org Roles,Short Answer,Person (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20an%20organizational%20role%20for%20creating%20and%20d%206f8191b71f5b4a55b2838afe723ae388.md,"1621266360000Is there an organizational role for creating and documenting consent forms? ",Principle for governance - Rights of people (consent)
"1621266000000Who is responsible for maintaining data security? ","May 17, 2021 8:40 AM","June 11, 2021 1:20 AM",Shreyasha Paudel,"Who is responsible for maintaining data security? ","Who is responsible for maintaining data security? ","A person (or a list of people) who are responsible for maintaining data security. ",Shreyasha Paudel,Governance > Decision-Makers > Org Roles,Short Answer,Person (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20an%20organizational%20role%20for%20maintaining%20da%20b5b202d535e542b49ec0779a91b81b60.md,"1621266060000Is there an organizational role for maintaining data security? ",
"1621266060000Is there an organizational role for maintaining data security? ","May 17, 2021 8:41 AM","June 11, 2021 1:21 AM",Shreyasha Paudel,"Is there an organizational role for maintaining data security? ",Is there an organizational role for maintaining data security?,This is a yes/no question to determine if there is a defined role for data security. This could be an organization wide role or a team specific role.,Shreyasha Paudel,Governance > Decision-Makers > Org Roles,Yes/No — short,Yes/No,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Who%20is%20responsible%20for%20maintaining%20data%20security%20384b38046279433790c3cd945504bb54.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20are%20the%20responsibilities%20for%20maintaining%20data%20ba653f47be1b48e990d04902e676314a.md","1621266000000Who is responsible for maintaining data security? ,1623276180000What are the responsibilities for maintaining data security?",,,
